ticker,date,close,entry_rsi,srsi,ma20,status,sell_price,gain_loss
MCD,2025-06-24 00:00:00,285.98,25.207606,20.0,,open,,
LMT,2025-07-23 00:00:00,410.74,23.33,0.0,461.79,closed,496.0,21.0
COST,2025-07-25 00:00:00,933.8,28.88,0.0,969.15,open,,
UNH,2025-07-29 04:00:00+00:00,261.07,29.14810757845069,0.2687376442309458,293.9145,closed,304.01,16.45
LLY,2025-08-07 04:00:00+00:00,640.86,25.817318107437345,0.1794361853048216,769.923,open,,
TGT,2025-09-15 04:00:00+00:00,88.56,29.118850210796936,0.0836323183023107,95.1595,open,,
FCX,2025-09-24 04:00:00+00:00,37.67,27.42192724889638,0.1594251333218361,44.818,open,,
BMY,2025-09-25 04:00:00+00:00,43.41,27.054412126798184,0.0,46.228,open,,
